,0
0,a
1,about
2,above
3,after
4,again
5,against
6,ain
7,all
8,am
9,an
10,and
11,any
12,are
13,aren
14,aren't
15,as
16,at
17,be
18,because
19,been
20,before
21,being
22,below
23,between
24,both
25,but
26,by
27,can
28,couldn
29,couldn't
30,d
31,did
32,didn
33,didn't
34,do
35,does
36,doesn
37,doesn't
38,doing
39,don
40,don't
41,down
42,during
43,each
44,few
45,for
46,from
47,further
48,had
49,hadn
50,hadn't
51,has
52,hasn
53,hasn't
54,have
55,haven
56,haven't
57,having
58,he
59,her
60,here
61,hers
62,herself
63,him
64,himself
65,his
66,how
67,i
68,if
69,in
70,into
71,is
72,isn
73,isn't
74,it
75,it's
76,its
77,itself
78,just
79,ll
80,m
81,ma
82,me
83,mightn
84,mightn't
85,more
86,most
87,mustn
88,mustn't
89,my
90,myself
91,needn
92,needn't
93,no
94,nor
95,not
96,now
97,o
98,of
99,off
100,on
101,once
102,only
103,or
104,other
105,our
106,ours
107,ourselves
108,out
109,over
110,own
111,re
112,s
113,same
114,shan
115,shan't
116,she
117,she's
118,should
119,should've
120,shouldn
121,shouldn't
122,so
123,some
124,such
125,t
126,than
127,that
128,that'll
129,the
130,their
131,theirs
132,them
133,themselves
134,then
135,there
136,these
137,they
138,this
139,those
140,through
141,to
142,too
143,under
144,until
145,up
146,ve
147,very
148,was
149,wasn
150,wasn't
151,we
152,were
153,weren
154,weren't
155,what
156,when
157,where
158,which
159,while
160,who
161,whom
162,why
163,will
164,with
165,won
166,won't
167,wouldn
168,wouldn't
169,y
170,you
171,you'd
172,you'll
173,you're
174,you've
175,your
176,yours
177,yourself
178,yourselves
179,!
180,""""
181,#
182,$
183,%
184,&
185,'
186,(
187,)
188,*
189,+
190,","
191,-
192,.
193,/
194,:
195,;
196,<
197,=
198,>
199,?
200,@
201,[
202,\
203,]
204,^
205,_
206,`
207,{
208,|
209,}
210,~
211,RT
212,mention
213,SXSW
214,link
215,“
216,”
217,...
218,''
219,’
220,``
221,'s
222,n't
223,apple
224,google
225,android
226,apple
227,ipad
228,i-pad
229,iphone
230,austin
231,A
232,About
233,Above
234,After
235,Again
236,Against
237,Ain
238,All
239,Am
240,An
241,And
242,Any
243,Are
244,Aren
245,Aren't
246,As
247,At
248,Be
249,Because
250,Been
251,Before
252,Being
253,Below
254,Between
255,Both
256,But
257,By
258,Can
259,Couldn
260,Couldn't
261,D
262,Did
263,Didn
264,Didn't
265,Do
266,Does
267,Doesn
268,Doesn't
269,Doing
270,Don
271,Don't
272,Down
273,During
274,Each
275,Few
276,For
277,From
278,Further
279,Had
280,Hadn
281,Hadn't
282,Has
283,Hasn
284,Hasn't
285,Have
286,Haven
287,Haven't
288,Having
289,He
290,Her
291,Here
292,Hers
293,Herself
294,Him
295,Himself
296,His
297,How
298,I
299,If
300,In
301,Into
302,Is
303,Isn
304,Isn't
305,It
306,It's
307,Its
308,Itself
309,Just
310,Ll
311,M
312,Ma
313,Me
314,Mightn
315,Mightn't
316,More
317,Most
318,Mustn
319,Mustn't
320,My
321,Myself
322,Needn
323,Needn't
324,No
325,Nor
326,Not
327,Now
328,O
329,Of
330,Off
331,On
332,Once
333,Only
334,Or
335,Other
336,Our
337,Ours
338,Ourselves
339,Out
340,Over
341,Own
342,Re
343,S
344,Same
345,Shan
346,Shan't
347,She
348,She's
349,Should
350,Should've
351,Shouldn
352,Shouldn't
353,So
354,Some
355,Such
356,T
357,Than
358,That
359,That'll
360,The
361,Their
362,Theirs
363,Them
364,Themselves
365,Then
366,There
367,These
368,They
369,This
370,Those
371,Through
372,To
373,Too
374,Under
375,Until
376,Up
377,Ve
378,Very
379,Was
380,Wasn
381,Wasn't
382,We
383,Were
384,Weren
385,Weren't
386,What
387,When
388,Where
389,Which
390,While
391,Who
392,Whom
393,Why
394,Will
395,With
396,Won
397,Won't
398,Wouldn
399,Wouldn't
400,Y
401,You
402,You'd
403,You'll
404,You're
405,You've
406,Your
407,Yours
408,Yourself
409,Yourselves
410,!
411,""""
412,#
413,$
414,%
415,&
416,'
417,(
418,)
419,*
420,+
421,","
422,-
423,.
424,/
425,:
426,;
427,<
428,=
429,>
430,?
431,@
432,[
433,\
434,]
435,^
436,_
437,`
438,{
439,|
440,}
441,~
442,Rt
443,Mention
444,Sxsw
445,Link
446,“
447,”
448,...
449,''
450,’
451,``
452,'s
453,N't
454,Apple
455,Google
456,Android
457,Apple
458,Ipad
459,I-pad
460,Iphone
461,Austin
